42.2.235.215:12345#TG-@wrrp_key 香港01
103.225.199.146:58589#TG→ @wrrp_key 香港02
23.91.98.167:34237#TG→ @wrrp_key 香港03
35.220.175.92:32788#TG→ @wrrp_key 香港04
43.229.154.114:25744#TG→ @wrrp_key 香港05
103.210.22.3:34237#TG→ @wrrp_key 香港06
125.229.230.180:38184#TG→ @wrrp_key 台湾01
118.163.101.44:44332#TG→ @wrrp_key 台湾02
35.201.217.101:4567#TG→ @wrrp_key 台湾03
129.154.198.58:46452#TG→ @wrrp_key 日本01
131.186.31.253:36688#TG→ @wrrp_key 日本02
132.226.21.81:40202#TG→ @wrrp_key 日本03
195.245.242.232:53942#TG→ @wrrp_key 日本04
54.95.144.39:40000#TG→ @wrrp_key 日本05
20.89.146.140:1443#TG→ @wrrp_key 日本06
138.2.106.169:61735#TG→ @wrrp_key 新加坡01
158.178.246.169:2083#TG→ @wrrp_key 新加坡02
139.162.48.174:10000#TG→ @wrrp_key 新加坡03
13.213.41.55:9999#TG→ @wrrp_key 新加坡04
154.3.37.27:9004#TG→ @wrrp_key 新加坡05
204.93.210.191:8443#TG→ @wrrp_key 新加坡06
131.186.21.148:20010#TG→ @wrrp_key 韩国01
193.123.233.169:39803#TG→ @wrrp_key 韩国02
64.110.72.246:20010#TG→ @wrrp_key 韩国03
43.143.248.167:4333#TG→ @wrrp_key 美国01
154.17.6.131:12802#TG→ @wrrp_key 美国02
45.32.71.226:10005#TG→ @wrrp_key 美国03
45.80.110.84:2087#TG→ @wrrp_key 美国04
104.17.112.30:8443#TG→ @wrrp_key 频道优选1
104.19.36.68:8443#TG→ @wrrp_key 频道优选2
104.16.207.41:8443#TG→ @wrrp_key 频道优选3
104.17.127.219:8443#TG→ @wrrp_key 频道优选4
104.17.19.56:8443#TG→ @wrrp_key 频道优选5
104.18.86.227:8443#TG→ @wrrp_key 频道优选6
198.41.209.13:8443#TG→ @wrrp_key 频道优选7
172.64.152.69:8443#TG→ @wrrp_key 频道优选8
